Event Name,Important Info
Battle of Harnaulgarh,"The Battle of Harnaulgarh was fought between the Durrani Empire and the Sikh Misls of Dal Khalsa in 1762.

Belligerents - Sikh Misls, Durrani Empire
Commanders and leaders- Jassa Singh Ahluwalia, Charat Singh, Zain Khan Sirhindi
Location - Harnaulgarh, 30 miles from Sirhind
Result - Sikh victory[1]
Territorial changes  - Durranis driven out from Sirhind.

The Sikhs assembled in May 1762 and plundered the baggage of the Mughal governor of Sirhind, Zain Khan Sirhindi.[2][3] The Sikh forces then marched and fought a severe battle with the Durranis at Harnaulgarh, a place 30 miles from Sirhind. The Sikhs secured a decisive victory at Harnaulgarh by driving away the Afghans and the defeated governor of Sirhind, Zain Khan Sirhindi, was forced to pay tribute of Rs. 50,000 to the Sikhs as a penalty for his loss.[4]

"
Battle of Rakshasbhuvan,"Commander- Madhavrao I

The Battle of Rakshasbhuvan in India was fought on 10 August 1763. After the defeat of the Maratha Empire at the Battle of Panipat, their rivals started seizing the opportunity to recover their losses in the past at the hands of Marathas. Particularly, the Nizam of Hyderabad wanted to recover territory he had lost at the Battle of Udgir where all of his dukes and earls were killed. He decided to launch a war on the Marathas.[2][page needed]

As Nizam Ali made his way towards Aurangabad, the Peshwa's army followed closely behind. However, Nizam Ali crossed the Godavari River with a portion of his forces, leaving Vithal Sundar in charge of the remaining troops and all the artillery and baggage on the south bank. Rakshasbhuvan was situated on this side of the river. Raghunath Rao, sensing an opportunity, decided to prevent Vithal Sundar from crossing. Meanwhile, Janoji Bhonsle left Vithal Sundar's side under the pretext of not being paid his troops. Raghunath Rao quickly marched to attack Vithal Sundar at Ralshasbhuvan. The ensuing battle, known as the Battle of Ralshasbhuvan, was a decisive victory for Madhav rao's forces. Vithal Sundar was severely wounded and killed in the battle, along with another prominent commander Vinayak das on Nizam Ali's side. Another prominent commander Murad khan captured by the marathas and sent to Asaf jah to cede territories worth crores and some forts.This battle marked a significant setback for Nizam Ali's army as they lost a large number of troops and valuable resources.[3]

A truce was reached and a treaty was signed at Aurangabad, whereby the Nizam lost 50 lacs territory including Bhalki and except Telangana and the eastern part of the Godavari river in Maharashtra. They gained the Bidar and Naldurg forts in exchange for Bhalki.[2]

"
Battle of Sirhind (1764),"The Battle of Sirhind was fought between Durrani Empire and Sikh Misls on 14 January 1764.[11][12]

Ahmad Shah Durrani returned to Afghanistan after appointing Zain Khan Sirhindi as the Governor of Sirhind. Zain Khan Sirhindi, the Afghan Governor was attacked by well equipped force of 40,000 Sikhs. In the battle, the Sikhs killed Zain Khan Sirhindi and many other leading officers of the Afghan army. The Sikhs then established their rule between river Satluj to Yamuna.[5] The Sikhs captured Sirhind and later handed over the land to Maharaja Ala Singh of Patiala State.[13][14] The city's inhabitants faced particularly harsh treatment from the Sikh armies who razed much of the city and made a deliberate policy of destroying the city's buildings and mosques.[15][16][17]
"
Battle of Buxar,"Result  - Company victory, Treaty of Allahabad, East India Company gains diwani rights to the Bengal Subah on behalf of the Mughal Emperor

The Battle of Buxar was fought between 22 and 23 October 1764, between the forces under the command of the British East India Company, led by Hector Munro, and the combined armies of Balwant Singh, Raja of Benaras; Mir Qasim, Nawab of Bengal; the Nawab of Awadh, Shuja-ud-Daula; and the Mughal Emperor, Shah Alam II.[3] The battle was fought at Buxar, a ""strong fortified town"" within the territory of Bihar, located on the banks of the Ganges river about 130 kilometres (81 mi) west of Patna; it was a challenging victory for the British East India Company. The war was brought to an end by the Treaty of Allahabad in 1765.[4] The defeated Indian rulers were forced to sign this treaty, granting the East India Company diwani rights, which allowed them to collect revenue from the territories of Bengal, Bihar, and Orissa on behalf of the Mughal emperor. This gave the company immense economic control, enabling them to pass financial policies to exploit the resources of the region for their own benefit.

The British engaged in the fighting numbered 17,072[5] comprising 1,859 British regulars, 5,297 Indian sepoys and 9,189 Indian cavalry. The alliance army's numbers were estimated to be over 40,000. According to other sources, the combined army of the Mughals, Awadh and Mir Qasim consisting of 10,000 men[6] was defeated by a British army comprising 7,000 men. A lack of basic co-ordination among these three disparate allies was responsible for their decisive defeat.[citation needed]

Mirza Najaf Khan commanded the right flank of the Mughal imperial army and was the first to advance his forces against Major Hector Munro at daybreak; the British lines formed within twenty minutes and reversed the advance of the Mughals. According to the British, Durrani and Rohilla cavalry were also present and fought during the battle in various skirmishes. But by midday, the battle was over and Shuja-ud-Daula blew up large tumbrils and three massive magazines of gunpowder.

Munro divided his army into various columns and particularly pursued the Mughal Grand Vizier Shuja-ud-Daula the Nawab of Awadh who responded by blowing up his boat-bridge after crossing the river, thus abandoning the Mughal Emperor Shah Alam II and members of his own regiment. Mir Qasim also fled with his 3 million rupees worth of gemstones and later died in poverty in 1777. Mirza Najaf Khan reorganised formations around Shah Alam II, who retreated and then chose to negotiate with the victorious British.[7]

The historian John William Fortescue claimed that the British casualties totalled 847: 39 killed and 64 wounded from the European regiments and 250 killed, 435 wounded and 85 missing from the East India Company's sepoys.[2] He also claimed that the three Indian allies suffered 2,000 dead and that many more were wounded.[2] Another source says that there were 69 European and 664 sepoy casualties on the British side and 6,000 casualties on the Mughal side.[8] The victors captured 133 pieces of artillery and over 1 million rupees of cash. Immediately after the battle, Munro decided to assist the Marathas, who were described as a ""warlike race"", well known for their relentless and unwavering hatred towards the Mughal Empire and its Nawabs and Mysore.

According to one brigadier-general H. Biddulph, ""the European infantry was composed of the Bengal European Battalion, two weak companies of the Bombay European Battalion, and small detachments of Marines and of H.M. 84th, 89th and 96th Regiments. The only officers killed were Lt. Francis Spilsbury of the 96th Foot and Ensign Richard Thompson of the Bengal European Battalion.""[9][10]"
First Anglo-Mysore War,"Location - Mysore

Result - Nizam of Hyderabad (defected in 1768)
Peshwa Faction of the  Maratha Empire.

The First Anglo-Mysore War (1767–1769) was a conflict in India between the Sultanate of Mysore and the East India Company. The war was instigated in part by the machinations of Asaf Jah II, the Nizam of Hyderabad, who sought to divert the company's resources from attempts to gain control over the Northern Circars.

The eighteenth century was a period of great turmoil in Indian subcontinent. Although the century opened with much of the subcontinent under the control of the Mughal Empire, the death in 1707 of Emperor Aurangzeb resulted in the fracturing of the empire, and a struggle among viceroys and other local rulers for territory.[2] In the 1740s and 1750s, French and British colonial companies became more active in these local conflicts. By the Third Carnatic War (1757–1763), the British had gained somewhat solid footholds at Bombay, Madras, and Calcutta, and had also marginalised (although not eliminated) the influence of other colonial powers. Their eastern holdings at Madras were strongly influenced by treaties with the Nawab of Carnatic, Muhammed Ali Khan Wallajah, whose territory surrounded Madras. The other major powers in the east were the Nizam of Hyderabad, formerly a viceroyalty of the Mughal Empire but declared independent in the 1720s, held in the 1760s by Asaf Jah II, and the Sultanate of Mysore, which occupied the high plains between the Eastern and Western Ghats, the mountain ranges separating the coastal plains of India from the interior.

Nominally ruled by the Wodeyar dynasty, Mysore had come into the hands of Hyder Ali, a Muslim military leader, in 1761.[3] Each of these powers intrigued with and against the others, and sought to draw the power of the French and British colonial companies to serve their objectives. The colonial powers sought to influence the local powers to gain either direct control of territory, or the revenues from territory nominally controlled by a local ruler beholden to them for financial and military support. Since European military training was significantly better than local practices, the latter was particularly important; small numbers of disciplined European or European-trained forces could defeat larger Indian armies composed mainly of poorly trained infantry and cavalry.[4]"
Great Bengal famine of 1770,"The Great Bengal famine of 1770 struck Bengal and Bihar between 1769 and 1770 and affected some 30 million people.[1] It occurred during a period of dual governance in Bengal.  This existed after the East India Company had been granted the diwani, or the right to collect revenue, in Bengal by the Mughal emperor in Delhi,[2][3] but before it had wrested the nizamat, or control of civil administration, which continued to lie with the Mughal governor, the Nawab of Bengal Nazm ud Daula (1765-72).[4]

Crop failure in autumn 1768 and summer 1769 and an accompanying smallpox epidemic were thought to be the manifest reasons for the famine.[5][1][6][7]  The East India Company had farmed out tax collection on account of a shortage of trained administrators, and the prevailing uncertainty may have worsened the famine's impact.[8]  Other factors adding to the pressure were: grain merchants ceased offering grain advances to peasants, but the market mechanism for exporting the merchants' grain to other regions remained in place; the East India Company purchased a large portion of rice for its army; and the Company's private servants and their Indian Gomasthas created local monopolies of grain.[5]  By the end of 1769 rice prices had risen two-fold, and in 1770 they rose a further three-fold.[9] In Bihar, the continual passage of armies in the already drought-stricken countryside worsened the conditions.[10] The East India Company provided little mitigation through direct relief efforts;[11] nor did it reduce taxes, though its options to do so may have been limited.[12]

By the summer of 1770, people were dying everywhere. Although the monsoon immediately after did bring plentiful rains, it also brought diseases to which many among the enfeebled fell victim.  For several years thereafter piracy increased on the Hooghly river delta.  Deserted and overgrown villages were a common sight.[13][14] Depopulation, however, was uneven, affecting north Bengal and Bihar severely, central Bengal moderately, and eastern only slightly.[15] The recovery was also quicker in the well-watered Bengal delta in the east.[16]

Between seven and ten million people—or between a quarter and third of the presidency's population—were thought to have died.[11][17][5][1][18][19][20] The loss to cultivation was estimated to be a third of the total cultivation.[21][22] Some scholars consider these numbers to be exaggerated in large part because reliable demographic information had been lacking in 1770.[23][24] Even so, the famine devastated traditional ways of life in the affected regions.[25][26] It proved disastrous to the mulberries and cotton grown in Bengal; as a result, a large proportion of the dead were spinners and weavers who had no reserves of food.[27][28] The famine hastened the end of dual governance in Bengal, the Company becoming the sole administrator soon after.[29] Its cultural impact was felt long afterwards, becoming the subject a century later of Bankim Chandra Chatterjee's influential novel Anandamath.[11][17]

The Bengali name Chiẏāttôrer mônnôntôr is derived from Bengali calendar year 1176 and the Bengali word meaning famine.[a]

The regions in which the famine occurred affected the modern Indian states of Bihar and West Bengal in particular, but the famine also extended into Orissa and Jharkhand as well as modern Bangladesh. Among the worst affected areas were Central and Northern Bengal, and Tirhut, Champaran and Bettiah in Bihar.[30] South-East Bengal escaped unscathed — it had an excess production in the famine years.[30]

"
Regulating Act 1773,"The Regulating Act 1773 (formally, the East India Company Act 1772) was an Act of the Parliament of Great Britain intended to overhaul the management of the East India Company's rule in India (Bengal).[1] The Act did not prove to be a long-term solution to concerns over the company's affairs. Pitt's India Act was therefore subsequently enacted in 1784 as a more radical reform. It marked the first step towards parliamentary control over the company and centralised administration in India.

By 1773, the East India Company (EIC) was in dire financial straits. The company was important to the British Empire because it was a monopoly trading company in India and the east, and many influential people were shareholders. The EIC paid £40,000 (equivalent to £46.1 million in 2015) annually to the government to maintain its monopoly but had been unable to meet its commitments since 1768 because of the loss of tea sales to America. About 85% of all the tea in America was smuggled Dutch tea. The EIC owed money to both the Bank of England and the government. It had 15 million lbs (6.8 million kg) of tea rotting in British warehouses and more en route from India. The Regulating Act 1773, complemented by the Tea Act 1773, had the principal objective of reducing the surplus of tea held by the financially troubled EIC and improve its financial standing.

Lord North overhauled the management of the India Company with the Regulating Act. The EIC had taken over large areas of India for trading purposes and had an army to protect its interests. Company men were not trained to govern, so North's government began moves towards government control since India was of national importance. The Act set up a system whereby the British government supervised the work of the EIC. Company shareholders opposed the Act, and the EIC was still a powerful lobbying group in Parliament despite its financial problems.[2]

The servants of the company were prohibited from carrying out any trade or taking bribes from the Indian.


"
First Anglo-Maratha War,"Result - Maratha victory (Treaty of Salbai)

Belligerents- Maratha Confederacy, East India Company

Strength- 93,000 troops total[3][8] (Maratha Confederacy), Around 146,000 troops total[3][8]  (East India Company)

The First Anglo-Maratha War (1775–1782) was the first of three Anglo-Maratha Wars fought between the British East India Company and Maratha Confederacy in India. The war began with the Treaty of Surat and ended with the Treaty of Salbai. The war, fought in between Surat and Poona, saw British defeat and restoration of positions of both the parties before the war. Warren Hastings, the first Governor-General of Bengal decided not to attack Pune directly.

After the death of Madhavrao Peshwa in 1772, his brother Narayanrao became peshwa (prime minister) of the Maratha Empire.  Narayanrao was murdered by his palace guards in August 1773, and his uncle Raghunathrao (Raghoba) became Peshwa. However, Narayanrao's wife, Gangabai, gave birth to a posthumous son, who was the legal heir to the throne. The newborn infant was named 'Sawai' Madhavrao (Sawai means ""One and a Quarter""). Twelve Maratha chiefs, known as the Baarbhai [11] and led by Nana Phadnavis, directed an effort to install the infant as the new Peshwa and to rule in his name as regents.

Raghunathrao, unwilling to give up his position of power, sought help from the British at Bombay and signed the Treaty of Surat on 6 March 1775. According to the treaty, Raghunathrao ceded the territories of Salsette and Bassein (Vasai) to the British, along with part of the revenues from Surat and Bharuch districts. In return, the British promised to provide Raghunathrao with 2,500 soldiers.

At the same time, the Marathas tried to form a military alliance with the French. Two Frenchmen, Saint-Lubin and M. Montigny acted as intermediaries between the France and the Poona Regency. However, the alliance proposals reached nowhere, while the British suspicions of a global anti-British front increased, since the American War of Independence was also going up around this same period.[12]

The British Calcutta Council condemned the Treaty of Surat, sending Colonel Upton to Pune to annul it and make a new treaty with the regency. The Treaty of Purandhar (1 March 1776) annulled that of Surat, Raghunathrao was pensioned and his cause abandoned, but the revenues of Salsette and Broach districts were retained by the British. The Bombay government rejected this new treaty and gave refuge to Raghunathrao. In 1777, Nana Phadnavis violated his treaty with the Calcutta Council by granting the French a port on the West coast. The English retaliated by sending a force towards Pune."
Battle of Mandan,"The Battle of Mandan was fought between the Shekhawat chiefs and the Mughal Empire due to their refusal to pay tribute to the emperor. The Mughals were Helped by Ahirs of Rewari under Mitra Sen Ahir and the Baloch chieftains Peero Khan and Kale Khan.[1]

The Shekhawati Rajput chieftains had been beating back invasions in their area for a long time. In 1775 the Shekhawati chiefs refused to pay tribute to the Mughals which resulted in an invasion by the Mughal army under the command of Mitra Sen Ahir, Kale Khan and Peero Khan. A pitched battle was fought in which both sides suffered heavy losses. Peero Khan was killed and Mitra Sen fled, resulting in a victory for the Shekhawat chiefs.[1]

Devi Singhs achievement in Mandan was acknowledged by the Maharaja of Jaipur.[2] Mitrasen Ahir again helped the Mughals against the Shekhawats. This time against the Shekhawat chieftain of Kanud, on February 1779. The Rajput garrison numbered only 400 and their chieftain, Nawal Singh Shekhawat was severely ill, but still gave a long resistance and even managed to sally out and kill Mitrasen's men. However Nawal Singh Shekhawat eventually died from his illness due to which the Mughals were able to negotiate a  peace and exchange Kanud fort for other villages, which were given to Nawal Singhs widow.[3]

"
Battle of Wadgaon,"The Battle of Wadgaon (12–13 January 1779) was fought between the Maratha Empire and the British East India Company near Vadgaon Maval village in Maharashtra and was part of the First Anglo-Maratha War.

A British force of over 3,000, supported by 19,000 bullocks, had run out of supplies during a slow march over the Ghats which was aimed at joining with another force coming from Bengal. Mahadji Shinde's men attacked and surrounded the British at Wadgoan as they retreated from their exposed position. The British were forced to surrender and agreed a treaty in February 1779 before being allowed to return to Bombay.[1]

In 2003, a group named 'Express Nagrik Vadgaon Vijaystambh Pratishthan' installed a victory pillar to commemorate the victory in the Battle of Wadgaon. The victory at the Battle of Wadgaon is still celebrated in the region every year.[2]

"
Treaty of Salbai,"The Treaty of Salbai was signed on 17 May 1782, by representatives of the Maratha Confederacy and the British East India Company after long negotiations to settle the outcome of the First Anglo-Maratha War it was signed between Warren
Hastings and Mahadaji Shinde. Under its terms, the Company retained control of Salsette and Broach and acquired guarantees that the Marathas would defeat Hyder Ali of Mysore and retake territories in the Carnatic. The Marathas also guaranteed that the French would be prohibited from establishing settlements on their territories. In return, the British agreed to pension off their protégé, Raghunath Rao, and acknowledge Madhavrao II as peshwa of the Maratha Empire. The British also recognised the territorial claims of the Mahadji Shinde west of the Jumna River and all the territories occupied by the British after the Treaty of Purandar were given back to the Marathas.

The Treaty of Salbai resulted in a period of relative peace between the Maratha Confederacyand the British East India Company until outbreak of the Second Anglo-Maratha War in 1802.[1] David Anderson concluded the Treaty of Salbai on behalf of the East India Company.[2]

Location - 25°51′N 78°19′E / 25.850°N 78.317°E / 25.850; 78.317
"
Second Anglo-Mysore War,"Result- Status quo ante bellum, Treaty of Mysore

Belligerents - Mysore, Great Britain

The Second Anglo-Mysore War was a conflict between the Kingdom of Mysore and the British East India Company from 1780 to 1784. At the time, Mysore was a key French ally in India, and the conflict between Britain against the French and Dutch in the American Revolutionary War influenced Anglo-Mysorean hostilities in India. The great majority of soldiers on the company side were raised, trained, paid and commanded by the company, not the British government. However, the company's operations were also bolstered by Crown troops sent from Great Britain, and by troops from Hanover,[1] which was also ruled by Great Britain's King George III.

Following the British seizure of the French port of Mahé in 1779, Mysorean ruler Hyder Ali opened hostilities against the British in 1780, with significant success in early campaigns. As the war progressed, the British recovered some territorial losses. Both France and Britain sent troops and naval squadrons from Europe to assist in the war effort, which widened later in 1780 when Britain declared war on the Dutch Republic. In 1783 news of a preliminary peace between France and Great Britain reached India, resulting in the withdrawal of French support from the Mysorean war effort. The British consequently also sought to end the conflict, and the British government ordered the Company to secure peace with Mysore. This resulted in the 1784 Treaty of Mangalore, restoring the status quo ante bellum under terms that company officials, such as Warren Hastings, found extremely unfavourable.

Hyder Ali ruled Mysore (though he did not have the title of king). Stung by what he considered a British breach of faith during an earlier war against the Marathas, Hyder Ali committed himself to a French alliance to seek revenge against the British. Upon the French declaration of war against Britain in 1778, aided by the popularity of ambassador Benjamin Franklin, the British East India Company resolved to drive the French out of India by taking the few enclaves of French possessions left on the subcontinent.[2] The company began by capturing Pondicherry and other French outposts in 1778. They then captured the French-controlled port at Mahé on the Malabar Coast in 1779. Mahé was of great strategic importance to Hyder, who received French-supplied arms and munitions through the port, and Hyder had not only told the British that it was under his protection, he had also provided troops for its defence. Hyder set about forming a confederacy against the British, which, in addition to the French, included the Marathas and the Nizam of Hyderabad.

During this time, company officials received orders from company headquarters in London to bring an end to the war, and entered negotiations with Tipu. Pursuant to a preliminary cease fire, Colonel Fullarton was ordered to abandon all of his recent conquests. However, due to allegations that Tipu violated terms of the cease fire at Mangalore, Fullarton remained at Palghautcherry. On 30 January the garrison of Mangalore surrendered to Tipu Sultan.

The war was ended on 11 March 1784 with the signing of the Treaty of Mangalore,[4] in which both sides agreed to restore the others' lands to the status quo ante bellum. The treaty is an important document in the history of India, because it was the last occasion when an Indian power dictated terms to the company."
Bhor Ghat,"Bhor Ghat[2][3] is a mountain pass located between Palasdari and Khandala for railway and between Khopoli and Khandala on the road route in Maharashtra, India, on the crest of the Western Ghats.

In February 1781, Bhorghat was the site of a battle between the Maratha Empire centered in Pune and the foreign powers in Mumbai. They dispatched a large force to capture Pune, which had to pass through the Bhorghat pass, where they were intercepted by Maratha forces. In the battle that ensued, the Marathas inflicted a crushing defeat on the British in what would be known as the Battle of Bhorghat.[4]

The discovery of a route to make a motorable pass in Bhor Ghat came after information was provided by a local Dhangar tribesman called Shigroba. Later, the Great Indian Peninsula Railway laid a railway line from Mumbai to Pune. The section through Bhor Ghat with 28 tunnels, and old bridges was opened in 1863.[5] The Ghat opened Mumbai to the Deccan plains of Peninsular India.[6]

Building a railway over the Bhor ghat was an exercise in imperial engineering, as noted in an article in Engineering Magazine in 1899, where it was described as ""a more certain and enduring form of attack than military power, and that the railway, the canal and harbour are the real weapons in the conquest of a colony.""[7] p. 347

The number of staff during construction increased from 10,000 in 1856, over 20,000 in 1857 to a peak of 42,000 in January 1861. The original incline included building 25 tunnels, eight arched masonry viaducts, blasting and removing of 54 mio cubic feet (1.5 mio m³) of hard rock and building embankments from 67.5 mio cubic feet (1.9 million m³) of material at a total cost of £ 1,100,000, i.e. £70,000 per mile.[7] p. 352

The project was marred by industrial unrest, disease and accidents. As many as 24,000 workers died during the project.[8] The first contractor awarded the section, William Frederick Faviell, mistreated his workers and underpaid his subcontractors, leading to riots by the workers that resulted in the death of one of the European managers attempting to subdue the unrest. Following a Government investigation, Faviell's contract was taken away from him and granted to Solomon Tredwell, who arrived in 1859 to restart the works. Tredwell died within days, of dysentery or cholera. His wife, Alice then took over the contract, completing it with success by 1863.[9]

"
Treaty of Mangalore,"The Treaty of Mangalore was signed between Tipu Sultan and the British East India Company on 11 March 1784. It was signed in Mangalore and brought an end to the Second Anglo-Mysore War.

Hyder Ali became dalwai Dalavayi of Mysore by force in 1761 displacing the Wodeyar Dynasty which had previously ruled the Kingdom. In 1766, war with the British broke out and Hyder's forces came close to capturing Madras, before his attacks began to falter. The war ended three years later with the Treaty of Madras in April 1769. This provided the mutual restoration of all conquests as well as mutual aid and alliance in a defensive war.

The Second Anglo-Mysore war broke out for a number reasons, primary among them being that Hyder Ali considered the British in breach of the treaty of April 1769 since they provided no aid in Mysore's defensive war with the Marathas. War with the British broke out in 1780 when Hyder led 80,000-90,000 men into the Carnatic region burning and destroying much of the countryside around the British strongholds of Vellore and Madras.

The British sent an army of about 5,000 men to lift the siege of Arcot by Hyder who retaliated with an opposing force of about 10,000 men under the command of Tipu Sultan, his son. Tipu led his force to a crushing victory over the British at Pollilur. The British lost about 4,000 men during this battle which was the worst defeat of the British East India Company to date in India. Hyder continued his siege and Tipu continued to menace the British in the Carnatic region.

Tipu won another victory against the Company in 1782 when he defeated Colonel Braithwaite at Tanjore. The entire force of about 2,000 men and about 10 field pieces were either killed or captured. By the end of 1781, the British began their counterattack. In quick succession, the British won the battles of Porto Novo, 2nd Pollilur, Sholinghur and the siege of Negapatam. In 1782, Hyder suddenly died, and Tipu became king. In 1783, the British took the town of Coimbatore and by January 1784, Tipu retook Mangalore from the British. With neither side in a position to win, the war ended in stalemate and was then concluded with the Treaty of Mangalore.

The great advantage of the treaty to Tipu was the psychological impact of the actual treaty on the British. The Commissioner for the British East India Company in Madras had to go to Mangalore, a recent reconquest of Tipu's, on the opposite coast of India, to sign the treaty. The humiliation of the Treaty (coupled with the recent loss of the Thirteen Colonies, in America) made the British determined to defeat Tipu.

"
Captivity of Mangalorean Catholics at Seringapatam,"The Captivity of Mangalorean Catholics at Seringapatam (1784–1799) was a 15-year-long imprisonment of Mangalorean Catholics and other Christians at Seringapatam, in the Carnataca region of India by Tippu Sultan; who was the de facto ruler of the Kingdom of Mysore following its usurpation.[1] Estimates of the number of captives range from 30,000 to 80,000, but the generally accepted figure is 60,000, as stated by Tippu himself in the Sultan-ul-Tawarikh.[2] The captivity was the most disconsolate period in the community's history.[3]

The Catholic Christians of Mangalore flourished during the regime of Tipu's father, Hyder Ali. Soon after Tipu inherited the territory in January 1784, he issued orders to seize the Christian community in Canara, confiscate their estates & deport them to Seringapatam. His orders were carried out on 24 February 1784. Mangalorean churches were demolished and the stones were used to build the Sultan Battery.[4] About twenty thousand Christians died during the difficult journey, from South Canara to Seringapatam. The Christians of Canara suffered extreme hardships, torture, and executions. Many converted in captivity to Sunni Islam as practiced by the Ottoman Caliphate, whose approval and assistance was sought by Tippu Sultan.[5][6][7][8][9] The captivity brought the once flourishing Christian community of Mangalore close to extermination.[1] The captivity ended when Tippu died on 4 May 1799, at the Siege of Seringapatam, led by the English East India Company and its allies; such as the Nizam of Hyderabad. Of the 60,000–80,000 Christians taken captive, only 15,000–20,000 both survived and retained their original Catholic Christian faith. The captivity left an impact on the literature of Mangalorean Catholics.[10] The bi-centennial anniversary of the Christians' release from captivity was commemorated across the South Canara area on 4 May, 1999.

Roman Catholics from the South Canara district on the south-western coast of India, under the jurisdiction of the Mangalore Diocese, are generally known as Mangalorean Catholics.[11] They are Konkani people who speak the Konkani language.[12] All earlier records of South Canara's Christians were lost at the time of their deportation by Tipu in 1784 and it is not known when Christianity was introduced in South Canara. It is possible that Syrian Christians settled in South Canara as they had in Malabar, a region south of Canara.[13] During the 13th century Italian traveller Marco Polo recorded that there were considerable trading activities between the Red Sea and the Canara coast. Scholars have surmised that foreign Christian merchants were visiting the coastal towns of South Canara during that period for commerce, and that some Christian priests possibly accompanied them in their evangelical work.[14] In 1321, the French Dominican friar Jordanus Catalani of Severac in south-western France, arrived in Bhatkal, North Canara.[15] According to historian Severine Silva, no concrete evidence has yet been found that there were any permanent settlements of Christians in South Canara before the 16th century.[14]

Propagation of Christianity in the region only began after the arrival of the Portuguese in 1498,[14] when Vasco da Gama's landed on St Mary's Islands in South Canara and planted a cross there on his voyage from Portugal to India.[16]
In 1500, the Portuguese explorer Pedro Álvares Cabral arrived at Anjediva in North Canara with eight Franciscan missionaries under the leadership of Frei Henrique Soares de Coimbra. On arrival they converted 22 or 23 natives to Christianity in the Mangalore region.[17] In 1526, during the viceroyship of Lopo Vaz de Sampaio, the Portuguese took possession of Mangalore[18] whereupon Portuguese Franciscans began slowly spreading Christianity in Mangalore.[18]

Contemporary Mangalorean Catholics are descended mainly from the Goan Catholic settlers, who migrated to Canara from Goa, a state north of Canara, between 1560 and 1763 in three major waves. The first wave of immigrants came to Mangalore to escape the trials of the Goa Inquisition of 1560. These migrants were welcomed by the native Bednore rulers of Canara for their agricultural skills. They were followed by a second major wave precipitated by the Portugal–Adil Shahi wars between 1570 and 1579. A final influx of immigrants arrived during the Portugal–Maratha wars in Goa during the late 17th and early 18th centuries.[19] According to Mangalorean historian Alan Machado Prabhu, the Mangalorean Catholics numbered about 58,000 by the time of the capture of Canara by Hyder Ali in 1765.[20]

By 1686, Seringapatam, capital of the Kingdom of Mysore, was home to a community of more than 400 Catholic Christians who were severely harassed in the following two decades when their churches were destroyed and the priest's house confiscated.[21] This destruction was undertaken in the name of the Wodeyar king, Kanthirava Narasaraja I by his finance minister. The priest's house was eventually returned to the church in 1709.[21] Sometime between 1700 and 1717, another church was built in Rampura, a suburb of Seringapatam, in the face of local opposition.[21] Relations between the Wodeyars and the Mangalorean Catholics improved until 1717, when an anti-Christian purge led to the expulsion of the resident priest who was thereafter forbidden to preach.[22] Several more anti-Christian demonstrations followed, but by 1736 relations had once more improved between the two groups.[22]

"
Maratha–Mysore wars,"The 'Maratha–Mysore wars were a conflict in the 18th century India between the Maratha Confederacy and the Kingdom of Mysore. Though initial hostilities between the sides started in 1770s, the last battle began in February 1785 and ended in 1787.[1]

The 18th century saw a steady decline of the once-dominant power on the whole subcontinent – the Mughal Empire. Apart from the disastrous invasion by the Afsharid ruler of Iran, Nader Shah in 1739, the Mughals were successfully contested by the Marathas. Meanwhile, the British East India Company was asserting its influence in India and was engaged in a series of wars with Mysore which eventually resulted in the region falling under Company rule.[2]

Mysore was a relatively small kingdom at the beginning of the 1700s. However, able rulers such as Hyder Ali and Tipu Sultan transformed the kingdom and westernized the army & it soon turned into a military threat both to the British and the Marathas.[3] Upon Hyder Ali’s death in 1782, Mysore covered 80,000 sq. miles and had a population of approximately 6 million.[4]

Starting from 1767, the Kingdom of Mysore overall had four major military confrontations with the British (1767–69; 1780–84; 1790–92; and 1799).[5]

Around 1761, the commander in chief of the state of Mysore, Hyder Ali proclaimed himself absolute ruler of the Kingdom and started military campaigns to expand the territory of the state. In 1766, the British East India Company joined forces with the local ruler of Hyderabad against Hyder Ali, but by 1769, the British were left alone in a war with the Mysore Kingdom. In 1769 Hyder Ali made his way to Madras (the location of the Company's government) and demanded a peace treaty.[6]

After the Second Anglo-Mysore War, Tipu Sultan, the ruler of Mysore, sought to keep offensive moves by the Marathas at bay. The Maratha had established a military alliance with the ruler of Hyderabad with a common purpose of recovering territories both sides had lost to Mysore in previous conflicts. Much of the desired territory was subject to marches, counter-marches, and sieges of fortified points. The Marathas also attempted to draw the British East India Company into the pending conflict, but a neutrality policy implemented by the new governor-general, Lord Charles Cornwallis made its participation impossible. While the Maratha would later aid the British in the Fourth Anglo-Mysore War, the final conflict between Mysore and the Maratha by themselves happened in January 1787 in the Siege of Bahadur Benda, where Mysore successfully captured Bahadur Fort from the Marathas.

"
